product_id,Avg_Tool_Wear
H29424,24.0
H29425,29.0
H29432,50.0
H29434,58.0
H29441,77.0
H29452,106.0
H29457,120.0
H29462,135.0
H29466,147.0
H29481,184.0
H29494,4.0
H29500,20.0
H29522,75.0
H29525,84.0
H29550,143.0
H29552,150.0
H29557,164.0
H29560,174.0
H29569,198.0
H29571,206.0
H29580,10.0
H29581,15.0
H29595,49.0
H29606,76.0
H29607,81.0
H29610,91.0
H29626,130.0
H29635,153.0
H29680,37.0
H29682,44.0
H29684,51.0
H29691,70.0
H29702,98.0
H29707,111.0
H29712,126.0
H29716,138.0
H29724,160.0
H29734,185.0
H29742,205.0
H29743,210.0
H29764,43.0
H29767,54.0
H29776,79.0
H29783,98.0
H29812,169.0
H29855,56.0
H29857,63.0
H29865,84.0
H29870,98.0
H29874,109.0
H29884,134.0
H29885,139.0
H29891,156.0
H29909,201.0
H29921,10.0
H29949,76.0
H29951,83.0
H29957,100.0
H29968,129.0
H29978,155.0
H29979,160.0
H29990,191.0
H29997,210.0
H29998,215.0
H30001,224.0
H30005,235.0
H30006,240.0
H30008,2.0
H30011,13.0
H30013,20.0
H30030,60.0
H30032,68.0
H30038,85.0
H30046,105.0
H30058,135.0
H30062,147.0
H30083,197.0
H30090,5.0
H30096,23.0
H30102,41.0
H30103,46.0
H30104,51.0
H30113,74.0
H30117,87.0
H30130,120.0
H30141,147.0
H30148,168.0
H30151,177.0
H30162,203.0
H30169,222.0
H30185,19.0
H30186,24.0
H30197,50.0
H30208,79.0
H30217,104.0
H30248,177.0
H30252,189.0
H30263,0.0
H30273,28.0
H30274,33.0
H30276,41.0
H30281,55.0
H30301,105.0
H30313,135.0
H30315,142.0
H30318,151.0
H30335,197.0
H30339,210.0
H30341,0.0
H30365,60.0
H30368,69.0
H30370,76.0
H30400,146.0
H30402,154.0
H30418,196.0
H30447,62.0
H30451,75.0
H30459,94.0
H30468,117.0
H30474,133.0
H30489,172.0
H30492,181.0
H30496,192.0
H30501,206.0
H30511,22.0
H30514,33.0
H30515,38.0
H30525,64.0
H30528,75.0
H30534,91.0
H30537,100.0
H30567,172.0
H30569,179.0
H30570,184.0
H30574,195.0
H30585,222.0
H30587,229.0
H30594,16.0
H30612,63.0
H30617,79.0
H30620,88.0
H30623,98.0
H30625,105.0
H30639,141.0
H30648,166.0
H30649,171.0
H30650,176.0
H30653,187.0
H30660,207.0
H30668,2.0
H30669,7.0
H30675,24.0
H30676,29.0
H30685,53.0
H30686,58.0
H30688,65.0
H30694,84.0
H30695,89.0
H30707,121.0
H30736,187.0
H30739,197.0
H30743,209.0
H30745,216.0
H30751,0.0
H30774,56.0
H30782,78.0
H30792,107.0
H30802,133.0
H30814,161.0
H30815,166.0
H30849,30.0
H30850,35.0
H30851,40.0
H30863,73.0
H30909,184.0
H30926,5.0
H30932,23.0
H30936,36.0
H30941,49.0
H30945,60.0
H30970,122.0
H30996,184.0
H31016,13.0
H31030,48.0
H31036,63.0
H31048,93.0
H31056,114.0
H31063,132.0
H31066,142.0
H31072,159.0
H31076,171.0
H31079,181.0
H31090,207.0
H31096,225.0
H31100,7.0
H31107,26.0
H31146,120.0
H31152,136.0
H31153,141.0
H31162,166.0
H31173,195.0
H31176,204.0
H31178,0.0
H31184,18.0
H31191,36.0
H31197,52.0
H31210,84.0
H31216,104.0
